Date,BP
23-11-2022,8367
24-11-2022,7381
25-11-2022,7292
26-11-2022,6964
27-11-2022,7390
28-11-2022,7435
29-11-2022,7490
30-11-2022,6683
01-12-2022,6951
02-12-2022,7381
03-12-2022,7398
04-12-2022,7832
05-12-2022,7982
06-12-2022,7794
07-12-2022,7957
08-12-2022,7877
09-12-2022,8078
10-12-2022,7986
11-12-2022,8173
12-12-2022,8147
13-12-2022,8060
14-12-2022,8516
15-12-2022,8479
16-12-2022,8077
17-12-2022,8216
18-12-2022,7902
19-12-2022,8041
20-12-2022,8106
21-12-2022,8312
22-12-2022,8272
23-12-2022,8324
24-12-2022,7537
25-12-2022,6842
26-12-2022,6573
27-12-2022,6564
28-12-2022,7924
29-12-2022,7930
30-12-2022,8569
31-12-2022,7978
01-01-2023,8227
02-01-2023,9318
03-01-2023,8722
04-01-2023,8287
05-01-2023,9054
06-01-2023,8789
07-01-2023,8562
08-01-2023,8220
09-01-2023,8239
10-01-2023,7990
11-01-2023,7778
12-01-2023,8119
13-01-2023,8026
14-01-2023,8003
15-01-2023,8027
16-01-2023,7788
17-01-2023,7530
18-01-2023,7088
19-01-2023,7686
20-01-2023,7968
21-01-2023,7838
22-01-2023,7675
23-01-2023,8249
24-01-2023,8367
25-01-2023,7927
26-01-2023,8338
27-01-2023,8497
28-01-2023,7401
29-01-2023,7243
30-01-2023,7096
31-01-2023,7961
01-02-2023,7683
02-02-2023,7434
03-02-2023,7818
04-02-2023,7480
05-02-2023,7744
06-02-2023,7313
07-02-2023,6778
08-02-2023,7017
09-02-2023,7635
10-02-2023,8015
11-02-2023,7889
12-02-2023,8003
13-02-2023,7389
14-02-2023,8077
15-02-2023,6742
16-02-2023,6858
17-02-2023,7675
18-02-2023,8441
19-02-2023,7941
20-02-2023,8570
21-02-2023,7903
22-02-2023,7958
23-02-2023,8198
24-02-2023,7703
25-02-2023,7980
26-02-2023,7923
27-02-2023,7923
28-02-2023,7683
01-03-2023,7797
02-03-2023,8360
03-03-2023,0
04-03-2023,8086
05-03-2023,8493
06-03-2023,8312
07-03-2023,8685
08-03-2023,9085
09-03-2023,8107
10-03-2023,8220
11-03-2023,8607
12-03-2023,8607
13-03-2023,9061
14-03-2023,10025
15-03-2023,9934
16-03-2023,9596
17-03-2023,8623
18-03-2023,8886
19-03-2023,9266
20-03-2023,9053
21-03-2023,9426
22-03-2023,9207
23-03-2023,8577
24-03-2023,7256
25-03-2023,0
26-03-2023,9627
27-03-2023,10026
28-03-2023,10297
29-03-2023,8807
30-03-2023,9184
31-03-2023,9182
01-04-2023,9152
02-04-2023,9194
